study.code,n.shifts,best.n.shifts,mean.clade.lambda,var.clade.lambda,lambda.lower.se,lambda.upper.se,mean.clade.mu,var.clade.mu,mu.lower.se,mu.upper.se,net.diver,tree.min.age,tree.max.age,gamma.stat,ntips,n.clade,prop.samp,study.id,taxon.names,rank,kingdom,orig.ntips,binary,ultrametric,usable,study.ref,gamma.corr
F2017.tr.pr,18,3,0.38004,0.00707,2.12E-01,5.48E-01,0.17155,0.01007,0,0.372248779,0.20848,0.076485509,64.936459,1.667965074,89,1404,0.063,Friedmanetal2017,Cichlidae,family,Metazoa,154,TRUE,TRUE,1,,0.103244446
G2011b.tr,1,1,0.13475,0.00075,8.00E-02,1.90E-01,0.05118,0.00152,0,0.129154355,0.08357,0.909494785,51.08887374,0.047647458,51,64,0.797,Goldbergetal2011,Ceanothus,genus,Viridiplantae,51,TRUE,TRUE,1,"Goldberg EE, Lancaster LT, Ree RH (2011) Phylogenetic inference of reciprocal effects between geographic range evolution and diversification. Systematic Biology 60(4): 451-465. https://doi.org/10.1093/sysbio/syr046",0.003929896
G2017.pr,106,5,0.11327742,9.08E-05,9.42E-02,1.32E-01,0.034920341,0.000129943,0.012121832,0.05771885,0.078357079,0.0092512,112.6309845,-7.13732481,651,6000,0.109,Gohlietal2017,Scolytinae,subfamily,Metazoa,658,TRUE,TRUE,1,"Gohli, J. , Kirkendall, L. R., Smith, S. M., Cognato, A. I., Hulcr, J. and Jordal, B. H. (2017), Biological factors contributing to bark and ambrosia beetle species diversification. Evolution, 71: 1258-1272. doi:10.1111/evo.13219",-0.161753053
H2007,2,1,0.16453,0.00188,7.78E-02,2.51E-01,0.1004,0.00357,0,0.219898954,0.06413,0.1,43.4,1.85731616,34,34,1,Higdonetal2007,Pinnipedia,superfamily,Metazoa,36,TRUE,TRUE,1,"Higdon J. W., Bininda-Emonds O. R. P., Beck R. M. D., Ferguson S. H. 2007. Phylogeny and divergence of the pinnipeds (Carnivora: Mammalia) assessed using a multigene dataset. BMC Evolutionary Biology 8: 216.",0.189561537
H2016.tr.pr,1,1,0.2702,0.00388,1.46E-01,3.95E-01,0.12118,0.00748,0,0.294153986,0.14902,0.106584982,23.27874776,0.408795418,47,50,0.94,Hosneretal2016,Cracidae,family,Metazoa,58,TRUE,TRUE,1,"Peter A. Hosner, Edward L. Braun, Rebecca T. Kimball, Rapid and recent diversification of curassows, guans, and chachalacas (Galliformes: Cracidae) out of Mesoamerica: Phylogeny inferred from mitochondrial, intron, and ultraconserved element sequences, In Molecular Phylogenetics and Evolution, Volume 102, 2016, Pages 320-330, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.06.006.",0.035183508
H2017.tr.pr,5,1,0.28163,0.00765,1.07E-01,4.57E-01,0.1566,0.0142,0,0.394927506,0.12503,0.158280859,25.95769401,1.744843636,36,53,0.679,Hennequinetal2017,Ctenitis,genus,Viridiplantae,58,TRUE,TRUE,1,"Sabine Hennequin, Germinal Rouhan, Alexandre Salino, Yi-Fan Duan, Marie-Capucine Lepeigneux, Marguerite Guillou, Steve Ansell, Thaís Elias Almeida, Li-Bing Zhang, Harald Schneider, Global phylogeny and biogeography of the fern genus Ctenitis (Dryopteridaceae), with a focus on the Indian Ocean region, Molecular Phylogenetics and Evolution, Volume 112, July 2017, Pages 277-289, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2017.04.012.",0.172765264
HI2017.tr.cr.pr,3,1,0.09519,6.00E-05,7.97E-02,1.11E-01,0.00571,3.00E-05,0,0.016664451,0.08948,4.881600019,50.21265797,-8.825685367,150,207,0.725,Hippetal2017,Quercus,genus,Viridiplantae,153,TRUE,TRUE,1,"Hipp, A. L., Manos, P. S., González-Rodríguez, A., Hahn, M., Kaproth, M., McVay, J. D., Avalos, S. V. and Cavender-Bares, J. (2017), Sympatric parallel diversification of major oak clades in the Americas and the origins of Mexican species diversity. New Phytol. doi:10.1111/nph.14773",-0.418848492
I2011,1,1,0.45161,0.00637,2.92E-01,6.11E-01,0.14254,0.0142,0,0.380867506,0.30907,0.147017672,7.992813681,-2.926548444,99,107,0.925,Ingram2011,Sebastes,genus,Metazoa,99,TRUE,TRUE,1,"Ingram, T. 2011. Speciation along a depth gradient in a marine adaptive radiation. Proc Roy Soc B: 278: 613-618. doi:10.1098/rspb.2010.1127",-0.171557308
I2016.pr,2,1,0.05172,3.00E-05,4.08E-02,6.27E-02,0.00736,5.00E-05,0,0.021502136,0.04436,0.303708918,81.16638987,-7.934234651,216,415,0.52,Ingrametal2016,Anolis,genus,Metazoa,219,TRUE,TRUE,1,"Travis Ingram, Alexis Harrison, D. Luke Mahler, María del Rosario Castañeda, Richard E. Glor, Anthony Herrel, Yoel E. Stuart, Jonathan B. Losos. 2016. Comparative tests of the role of dewlap size in Anolis lizard speciation. Proc. R. Soc. B 2016 283 20162199; DOI: 10.1098/rspb.2016.2199.",-0.313139264
IL2017.tr.cr.pr,1,1,0.09574,6.00E-05,8.02E-02,1.11E-01,0.00785,6.00E-05,0,0.023341933,0.08789,0.594800001,38.69639859,-6.956337419,169,194,0.871,Ilesetal2017,Heliconia,genus,Viridiplantae,219,TRUE,TRUE,1,"William J.D. Iles, Chodon Sass, Laura Lagomarsino, Gracie Benson-Martin, Heather Driscoll, Chelsea D. Specht, The phylogeny of Heliconia (Heliconiaceae) and the evolution of floral presentation, Molecular Phylogenetics and Evolution, Volume 117, 2017,Pages 150-167, https://doi.org/10.1016/j.ympev.2016.12.001. (http://www.sciencedirect.com/science/article/pii/S1055790316303906)",-0.310786236
J2016.tr.cr.pr,1,1,0.37951,0.04714,0.00E+00,8.14E-01,0.34002,0.08747,0,0.931526551,0.03949,0.780846,6.108127042,-0.683240152,7,7,1,Johnsonetal2016,Cathartidae,family,Metazoa,9,TRUE,TRUE,1,"Jeff A. Johnson, Joseph W. Brown, Jérôme Fuchs, David P. Mindell, Multi-locus phylogenetic inference among New World Vultures (Aves: Cathartidae), Molecular Phylogenetics and Evolution, Volume 105, 2016, Pages 193-199, https://doi.org/10.1016/j.ympev.2016.08.025.",-0.176411849
J2018.cr.pr,1,1,0.06521,0.00092,4.55E-03,1.26E-01,0.04676,0.00165,0,0.128000384,0.01845,6.7546975,36.71559724,-1.601760496,11,12,0.917,Jongsmaetal2018,Amnirana,genus,Metazoa,19,TRUE,TRUE,1,"Gregory F.M. Jongsma, Michael F. Barej, Christopher D. Barratt, Marius Burger, Werner Conradie, Raffael Ernst, Eli Greenbaum, Mareike Hirschfeld, Adam D. Leaché, Johannes Penner, Daniel M. Portik, Ange-Ghislain Zassi-Boulou, Mark-Oliver Rödel, David C. Blackburn,, Diversity and biogeography of frogs in the genus Amnirana (Anura: Ranidae) across sub-Saharan Africa, Molecular Phylogenetics and Evolution, Volume 120,2018, Pages 274-285,https://doi.org/10.1016/j.ympev.2017.12.006.",-0.308258951
JO2016.tr.pr,493,4,0.16224,5.00E-05,1.48E-01,1.76E-01,0.01628,7.00E-05,0,0.033013201,0.14597,0.037616454,30.09521177,-4.226319085,667,780,0.855,Jonssonetal2016,Corvides,infraorder,Metazoa,680,TRUE,TRUE,1,"Knud Andreas Jønsson, Pierre-Henri Fabre, Jonathan D. Kennedy, Ben G. Holt, Michael K. Borregaard, Carsten Rahbek, Jon Fjeldså, A supermatrix phylogeny of corvoid passerine birds (Aves: Corvides), Molecular Phylogenetics and Evolution, Volume 94, Part A, January 2016, Pages 87-94, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2015.08.020.",-0.094621719
L2012.pr,142,4,0.13238,2.00E-04,1.04E-01,1.61E-01,0.11054,0.00029,0.076481227,0.144598773,0.02184,0.15066518,328.1599643,17.48954322,489,629,0.777,Leslieetal2012,"Coniferophyta, Pinidae",subclass,Viridiplantae,492,TRUE,TRUE,1,"Leslie, A. B., J. M. Beaulieu, H. S. Rai, P. R. Crane, M. J. Donoghue, S. Mathews. 2012. Hemisphere-scale differences in conifer evolutionary dynamics. Proceedings of the National Academy of Sciences. 109 (40): 16217-16221.",0.457565592
L2013,12,2,0.19404,0.00432,6.26E-02,3.25E-01,0.10531,0.00688,0,0.271201531,0.08873,0.185135308,55,3.285561123,65,200,0.325,Landisetal2013,Rhododendron section Vireya,section,Viridiplantae,65,TRUE,TRUE,1,"Landis MJ, Matzke NJ, Moore BR, Huelsenbeck JP (2013) Bayesian analysis of biogeography when the number of areas is large. Systematic Biology 62(6): 789-804. https://doi.org/10.1093/sysbio/syt040",0.238989406
L2014.pr,1,1,0.16198,0.00179,7.74E-02,2.47E-01,0.07203,0.00359,0,0.191863217,0.08996,0.16704466,23.24567617,-1.013193107,42,45,0.933,Leacheetal2014,Agama,genus,Metazoa,57,TRUE,TRUE,1,"Adam D. Leach_, Philipp Wagner, Charles W. Linkem, Wolfgang B_hme, Theodore J. Papenfuss, Rebecca A. Chong, Brian R. Lavin, Aaron M. Bauer, Stuart V. Nielsen, Eli Greenbaum, Mark-Oliver R_del, Andreas Schmitz, Matthew LeBreton, Ivan Ineich, Laurent Chirio, Caleb Ofori-Boateng, Edem A. Eniang, Sherif Baha El Din, Alan R. Lemmon, Frank T. Burbrink, A hybrid phylogenetic_phylogenomic approach for species tree estimation in African Agama lizards with applications to biogeography, character evolution, and diversification, Molecular Phylogenetics and Evolution, Volume 79, October 2014, Pages 215-230, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2014.06.013.
(http://www.sciencedirect.com/science/article/pii/S1055790314002267)
Keywords: Africa; Agamidae; Anchored phylogenomics; Next-generation sequencing; Sequence capture; Xenagama",-0.092491453
L2016.cr.pr,1,1,0.33838,0.00228,2.43E-01,4.34E-01,0.30826,0.00246,0.209063226,0.407456774,0.03012,0.301748969,236.117825,-6.04277141,521,1964,0.265,Letschetal2016,Odonata,order,Metazoa,522,TRUE,TRUE,1,"Letsch, H., Gottsberger, B. and Ware, J. L. (2016), Not going with the flow: a comprehensive time-calibrated phylogeny of dragonflies (Anisoptera: Odonata: Insecta) provides evidence for the role of lentic habitats on diversification. Mol Ecol, 25: 1340–1353. doi:10.1111/mec.13562",-0.153141134
L2017.tr.pr,5,1,1.543727344,0.078215998,9.84E-01,2.10E+00,0.467054068,0.141790899,0,1.220156714,1.076673275,0.05580897,4.977040998,-3.409202991,145,550,0.264,Lagomarsinoetal2017,Lobelioidae,subfamily,Viridiplantae,153,TRUE,TRUE,1,"Lagomarsino, L. P., Forrestel, E. J., Muchhala, N. and Davis, C. C. (2017), Repeated evolution of vertebrate pollination syndromes in a recently diverged Andean plant clade. Evolution, 71: 1970-1985. doi:10.1111/evo.13297",-0.164597871
M2017.pr,2,1,0.06148,0.00037,2.30E-02,1.00E-01,0.03685,0.00072,0,0.090515631,0.02463,1.136755,77.595209,0.70716558,28,29,0.966,Masonicketal2017,Phymatinae,subfamily,Metazoa,45,TRUE,TRUE,1,"Paul Masonick, Amy Michael, Sarah Frankenberg, Wolfgang Rabitsch, Christiane Weirauch, Molecular phylogenetics and biogeography of the ambush bugs (Hemiptera: Reduviidae: Phymatinae), Molecular Phylogenetics and Evolution, Volume 114, September 2017, Pages 225-233, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2017.06.010.",0.080070735
MC2016a.cr.pr,1,1,0.26285,0.00942,6.87E-02,4.57E-01,0.16533,0.0169,0,0.42533,0.09752,0.370756999,18.61803958,-0.236441479,32,42,0.762,McCord&Westneat2016,Balistidaea,family,Metazoa,86,TRUE,TRUE,1,"Charlene L. McCord, Mark W. Westneat, Phylogenetic relationships and the evolution of BMP4 in triggerfishes and filefishes (Balistoidea), Molecular Phylogenetics and Evolution, Volume 94, Part A, January 2016, Pages 397-409, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2015.09.014.",-0.02492312
MC2016b.cr.pr,1,1,0.23634,0.00553,8.76E-02,3.85E-01,0.14798,0.00911,0,0.33887264,0.08836,0.113112002,33.23460722,0.177068896,48,109,0.44,McCord&Westneat2016,Monacanthidae,family,Metazoa,86,TRUE,TRUE,1,"Charlene L. McCord, Mark W. Westneat, Phylogenetic relationships and the evolution of BMP4 in triggerfishes and filefishes (Balistoidea), Molecular Phylogenetics and Evolution, Volume 94, Part A, January 2016, Pages 397-409, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2015.09.014.",0.015073105
N2017a.tr.pr,6,3,0.72413234,0.009287657,5.31E-01,9.17E-01,0.56415335,0.012615674,0.339514315,0.788792385,0.159978989,0.076814176,36.81340086,5.006201012,365,1346,0.271,Neupaneetal2017,Spermacoceae,tribe,Viridiplantae,368,TRUE,TRUE,1,"Neupane, S., Lewis, P. O., Dessein, S., Shanks, H., Paudyal, S. and Lens, F. (2017), Evolution of woody life form on tropical mountains in the tribe Spermacoceae (Rubiaceae). American Journal of Botany, 104: 419–438. doi:10.3732/ajb.1600248",0.151703061
P2016,5,1,0.10964,6.00E-04,6.07E-02,1.59E-01,0.0449,0.00143,0,0.120530682,0.06475,0.32182821,42.5519251,0.002471164,116,118,0.975,Priceetal2016,Cephalotes,genus,Metazoa,NA,TRUE,TRUE,1,"Price, S. L., Etienne, R. S. and Powell, S. (2016), Tightly congruent bursts of lineage and phenotypic diversification identified in a continental ant radiation. Evolution, 70: 903–912. doi:10.1111/evo.12894",0.000133625
P2017,61,3,0.03758,1.00E-05,3.13E-02,4.39E-02,0.0051,1.00E-05,0,0.011424555,0.03248,0.257622,315.806766,1.281202338,294,335,0.85,Pereiraetal2017,Testudinata,order,Metazoa,294,TRUE,TRUE,1,"Anieli G. Pereira, Juliana Sterli, Filipe R.R. Moreira, Carlos G. Schrago, Multilocus phylogeny and statistical biogeography clarify the evolutionary history of major lineages of turtles, Molecular Phylogenetics and Evolution, Volume 113, August 2017, Pages 59-66, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2017.05.008.
(http://www.sciencedirect.com/science/article/pii/S1055790316304316)",0.043287815
PB2014.cr.pr,16999,17,0.070613007,1.17E-06,6.84E-02,7.28E-02,0.004055818,1.06E-06,0.001996692,0.006114944,0.066557189,0.01363701,174.1421246,-18.73215061,4161,9400,0.443,Pyron&Burbink2014,Squamata,order,Metazoa,4162,TRUE,TRUE,1,"Pyron, R. A., & Burbrink, F. T. (2014). Early origin of viviparity and multiple reversions to oviparity in squamate reptiles. Ecology Letters, 17(1), 13-21.",-0.167699803
pg1646.pr,1,1,0.61585,0.03351,2.50E-01,9.82E-01,0.43608,0.047,0.002490332,0.869669668,0.17977,0.1,23,0.02029196,34,174,0.195,Higdonetal2007,Caniformia,suborder,Metazoa,36,TRUE,TRUE,1,"Higdon J. W., Bininda-Emonds O. R. P., Beck R. M. D., Ferguson S. H. 2007. Phylogeny and divergence of the pinnipeds (Carnivora: Mammalia) assessed using a multigene dataset. BMC Evolutionary Biology 8: 216.",0.002071039
pg1953.pr,18,2,0.15159,0.00012,1.30E-01,1.73E-01,0.01587,0.00015,0,0.040364897,0.13572,0.115150161,32.58645941,-2.922334458,278,287,0.969,Derryberryetal2011,Furnariidae,family,Metazoa,297,TRUE,TRUE,1,"Derryberry, E.P., Claramunt S., Derryberry G.E., Chesser R.T., Cracraft J., Aleixo A., Perez-eman J., Remsen J., and Brumfield R. 2011. Lineage diversification and morphological evolution in a large-scale continental radiation: the Neotropical ovenbirds and woodcreepers (Aves: Furnariidae). Evolution 65 (10): 2973-2986.",-0.101558143
pg2371,1,1,0.21275,0.00837,2.98E-02,3.96E-01,0.13028,0.0112,0,0.341940105,0.08247,7.635261077,31.37016838,-0.314050325,6,79,0.076,Corletal2013,Scolopacidae,family,Metazoa,6,TRUE,TRUE,1," Corl, Ammon, Hans Ellegren. 2013. Sampling strategies for species trees: The effects on phylogenetic inference of the number of genes, number of individuals, and whether loci are mitochondrial, sex-linked, or autosomal. Molecular Phylogenetics and Evolution 67 (2): 358-366",-0.09065852
pg2575,26,3,0.60902,0.00271,5.05E-01,7.13E-01,0.09585,0.00382,0,0.219462297,0.51317,0.754949245,20.99999743,-10.73717983,191,6263,0.03,Bakeretal2013,Passeriformes,order,Metazoa,191,TRUE,TRUE,1,"Barker, F. K., K. J. Burns, J. Klicka, S. M. Lanyon, I. J. Lovette. 2013. Going to extremes: contrasting rates of diversification in a recent radiation of New World passerine birds. Systematic Biology 62 (2): 298-320.",-0.450919169
pg2576.pr,2,1,0.33452,0.00091,2.74E-01,3.95E-01,0.28618,0.00103,0.221992774,0.350367226,0.04834,0.394899692,216.9294365,-5.843760722,572,17419,0.033,Nearetal2013,Euteleostei,subdivision,Metazoa,579,TRUE,TRUE,1,"Near, T. J., A. Dornburg, R. I. Eytan, B. P. Keck, W. L. Smith, K. L. Kuhn, J. A. Moore, S. A. Price, F. T. Burbrink, M. Friedman, P. C. Wainwright, 2013, 'Phylogeny and tempo of diversification in the superradiation of spiny-rayed fishes', Proceedings of the National Academy of Sciences, vol. 110, no. 31, pp. 12738-12743",-0.141316987
pg2659,4,3,0.05948,0.00012,3.76E-02,8.14E-02,0.01726,0.00015,0,0.041754897,0.04222,20.68129934,349.7865007,-4.903415112,95,6842,0.014,Chenetal2013,Otophysi,series,Metazoa,95,TRUE,TRUE,1,"Chen, Wei-Jen, S_bastien Lavou_, and Richard L. Mayden. 2013. Evolutionary origin and early biogeography of otophysan fishes (Ostariophysi: Teleostei). Evolution 67 (8): 2218_2239.",-0.293559784
pg2689.pr,2,2,0.57005,0.00481,4.31E-01,7.09E-01,0.1269,0.00727,0,0.29742859,0.44315,0.128881122,12.29494099,1.828431731,120,159,0.755,Drummondetal2012,Lupinus,genus,Viridiplantae,137,TRUE,TRUE,1,"Drummond, C. S., Eastwood, R. J., Miotto, S. T., & Hughes, C. E. (2012). Multiple continental radiations and correlates of diversification in Lupinus (Leguminosae): testing for key innovation with incomplete taxon sampling. Systematic Biology 61(3), 443-460.",0.09718005
pg2850,18,2,0.21252,0.00156,1.34E-01,2.92E-01,0.06726,0.00236,0,0.164419662,0.14526,0.201258986,47.26612516,0.683796821,55,244,0.225,Ciboisetal2014,Columbidae,family,Metazoa,55,TRUE,TRUE,1,"Cibois, Alice, Jean-Claude Thibault, C_line Bonillo, Christopher E. Filardi, Dick Watling, Eric Pasquet. 2014. Phylogeny and biogeography of the fruit doves (Aves: Columbidae). Molecular Phylogenetics and Evolution 70: 442-453.",0.054228615
pg2853,31,2,0.23707,0.00048,1.93E-01,2.81E-01,0.04741,0.00101,0,0.110970994,0.18966,0.036051474,22.46274502,-1.957460308,293,338,0.867,McGuireetal2014,Trochilidae,family,Metazoa,293,TRUE,TRUE,1,"McGuire, Jimmy A., Christopher C. Witt, J.V. Remsen, Ammon Corl, Daniel L. Rabosky, Douglas L. Altshuler, Robert Dudley. 2014. Molecular phylogenetics and the diversification of hummingbirds. Current Biology 24 (8): 910-916.",-0.066249994
PRE2017.cr.pr,1,1,0.12855,0.00049,8.43E-02,1.73E-01,0.03227,0.00082,0,0.089541284,0.09627,2.267489997,35.04637401,-7.268246771,97,390,0.249,Prebus2017,Temnothrorax,genus,Metazoa,112,TRUE,TRUE,1,"Prebus M (2017) Insights into the evolution, biogeography and natural history of the acorn ants, genus Temnothorax Mayr (hymenoptera: Formicidae). BMC Evolutionary Biology 17: 250. https://doi.org/10.1186/s12862-017-1095-8",-0.430533782
R2011,1,1,1.03509,0.24789,3.93E-02,2.03E+00,0.75641,0.47378,0,2.133043575,0.27868,0.48,2.74,-0.944379082,8,11,0.727,Ribasetal2011,Psophiidae,family,Metazoa,8,TRUE,TRUE,1,"Ribas, C. C., A. Aleixo, A. C. R. Nogueira, C. Y. Miyaki, J. Cracraft, 2011. A palaeobiogeographic model for biotic diversification within Amazonia over the past three million years. Proceedings of the Royal Society B: Biological Sciences 279 (1729): 681-689.",-0.222592284
R2013,1,1,0.13309,0.00054,8.66E-02,1.80E-01,0.03106,0.00085,0,0.089369519,0.10202,1.623574225,39.60509394,-4.32642334,61,210,0.29,Rojasetal2013,Mormoopidae + Phyllostomidae,family,Metazoa,61,TRUE,TRUE,1,"D. ROJAS,D. ROJAS, C. A. MANCINA, J. J. FLORES-MART INEZ & L. NAVARRO C. A. MANCINA, J. J. FLORES-MART INEZ & L. NAVARRO (2013) Phylogenetic signal, feeding behaviour and brain volume in
Neotropical batsJ . EVOL. BIOL. 26 ( 2013) 1925–1933 doi: 10.1111/jeb.12190",-0.325193892
R2018.tr.pr,1,1,0.41168,0.01309,1.83E-01,6.41E-01,0.24113,0.02271,0,0.542526748,0.17055,0.182918643,17.46443395,1.074935287,37,47,0.787,Reaneyetal2018,Phymaturus,genus,Metazoa,97,TRUE,TRUE,1,"Reaney, A. M., Saldarriaga-Córdoba, M., & Pincheira-Donoso, D. (2018). Macroevolutionary diversification with limited niche disparity in a species-rich lineage of cold-climate lizards. BMC evolutionary biology, 18(1), 16.",0.104902942
S2012,1,1,0.38366,0.00348,2.66E-01,5.02E-01,0.26944,0.00536,0.123015958,0.415864042,0.11422,0.189482145,48.9,2.320020935,138,288,0.479,Slateretal2012,Carnivora,family,Metazoa,138,TRUE,TRUE,1,"Slater GJ, Harmon LJ, Alfaro ME. 2010. Data from: Integrating fossils with molecular phylogenies improves inference of trait evolution",0.114858151
S2014.cr,13594,12,0.598531496,0.000568174,5.51E-01,6.46E-01,0.31603988,0.000964126,0.253939123,0.378140637,0.282491616,0.000376519,57.79951233,6.646828076,3595,11000,0.327,Spriggsetal2014,Poaceae,family,Viridiplantae,3595,TRUE,TRUE,1,"Spriggs EL, Christin PA, Edwards EJ (2014) C4 Photosynthesis Promoted Species Diversification during the Miocene Grassland Expansion. PLOS ONE 9(5): e97722. https://doi.org/10.1371/journal.pone.0097722",0.064021406
